long,lat,T_Summer,PPT_Summer,VWC_Summer_whole,ExtremeShortTermDryStress_Summer_whole,T_Summer_t,PPT_Summer_t,VWC_Summer_whole_t,ExtremeShortTermDryStress_Summer_whole_t
-110.0472,37.60413,22.92,6.98,0.04,35.16,1.0,0.0,0.15,1.0
-110.0461,37.60334,22.92,6.98,0.05,35.16,1.0,0.0,0.23,1.0
-110.0458,37.60308,22.92,6.98,0.05,35.16,1.0,0.0,0.22,1.0
-110.0393,37.60519,22.92,6.98,0.06,35.16,1.0,0.0,0.3,1.0
-110.0389,37.60545,22.92,6.98,0.06,35.16,1.0,0.0,0.32,1.0
-110.0386,37.59621,22.92,6.98,0.05,35.16,1.0,0.0,0.28,1.0
-110.0376,37.60202,22.92,6.98,0.05,35.16,1.0,0.0,0.24,1.0
-110.0376,37.6044,22.92,6.98,0.04,35.16,1.0,0.0,0.14,1.0
-110.0365,37.60096,22.7,7.2,0.05,34.93,0.87,0.13,0.19,0.88
-110.0365,37.60334,22.7,7.2,0.05,34.93,0.87,0.13,0.18,0.88
-110.0355,37.59489,22.7,7.2,0.04,34.93,0.87,0.13,0.09,0.88
-110.0348,37.59067,22.7,7.2,0.05,34.93,0.87,0.13,0.22,0.88
-110.0345,37.60123,22.7,7.2,0.05,34.93,0.87,0.13,0.29,0.88
-110.0341,37.6044,22.7,7.2,0.05,34.93,0.87,0.13,0.27,0.88
-110.0338,37.58882,22.7,7.2,0.06,34.93,0.87,0.13,0.32,0.88
-110.0338,37.59991,22.7,7.2,0.04,34.93,0.87,0.13,0.13,0.88
-110.0334,37.60492,22.7,7.2,0.05,34.93,0.87,0.13,0.27,0.88
-110.0331,37.60915,22.7,7.2,0.06,34.93,0.87,0.13,0.33,0.88
-110.0328,37.60334,22.7,7.2,0.05,34.93,0.87,0.13,0.18,0.88
-110.0321,37.60862,22.7,7.2,0.05,34.93,0.87,0.13,0.27,0.88
-110.0314,37.58935,22.7,7.2,0.05,34.93,0.87,0.13,0.19,0.88
-110.03,37.59938,22.7,7.2,0.04,34.92,0.87,0.13,0.06,0.88
-110.029,37.60598,22.7,7.2,0.05,34.93,0.87,0.13,0.27,0.88
