long,lat,T_Summer_1980,PPT_Summer_1980,VWC_Summer_whole_1980,ExtremeShortTermDryStress_Summer_whole_1980,T_Summer_2018,PPT_Summer_2018,VWC_Summer_whole_2018,ExtremeShortTermDryStress_Summer_whole_2018,T_Summer_diff,PPT_Summer_diff,VWC_Summer_whole_diff,ExtremeShortTermDryStress_Summer_whole_diff
-110.0472,37.60413,23.16,2.69,0.04,36.16,24.55,4.48,0.04,35.25,1.39,1.79,0.0,-0.91
-110.0461,37.60334,23.16,2.69,0.05,36.16,24.55,4.48,0.05,35.25,1.39,1.79,0.0,-0.91
-110.0458,37.60308,23.16,2.69,0.05,36.16,24.55,4.48,0.05,35.19,1.39,1.79,0.0,-0.97
-110.0393,37.60519,23.16,2.69,0.05,36.16,24.55,4.48,0.05,35.25,1.39,1.79,0.0,-0.91
-110.0389,37.60545,23.16,2.69,0.05,36.16,24.55,4.48,0.05,35.25,1.39,1.79,0.0,-0.91
-110.0386,37.59621,23.16,2.69,0.05,36.16,24.55,4.48,0.05,35.19,1.39,1.79,0.0,-0.97
-110.0376,37.60202,23.16,2.69,0.05,36.16,24.55,4.48,0.05,35.25,1.39,1.79,0.0,-0.91
-110.0376,37.6044,23.16,2.69,0.04,36.16,24.55,4.48,0.04,35.19,1.39,1.79,0.0,-0.97
-110.0365,37.60096,23.07,2.57,0.04,36.11,24.31,4.36,0.04,34.75,1.24,1.79,0.0,-1.36
-110.0365,37.60334,23.07,2.57,0.04,36.11,24.31,4.36,0.04,34.82,1.24,1.79,0.0,-1.29
-110.0355,37.59489,23.07,2.57,0.04,36.11,24.31,4.36,0.04,34.75,1.24,1.79,0.0,-1.36
-110.0348,37.59067,23.07,2.57,0.05,36.11,24.31,4.36,0.05,34.75,1.24,1.79,0.0,-1.36
-110.0345,37.60123,23.07,2.57,0.05,36.11,24.31,4.36,0.05,34.82,1.24,1.79,0.0,-1.29
-110.0341,37.6044,23.07,2.57,0.05,36.11,24.31,4.36,0.05,34.75,1.24,1.79,0.0,-1.36
-110.0338,37.58882,23.07,2.57,0.05,36.11,24.31,4.36,0.05,34.75,1.24,1.79,0.0,-1.36
