long,lat,year,T_Summer,PPT_Summer,VWC_Summer_whole,ExtremeShortTermDryStress_Summer_whole,Herb,Litter,Bare,Shrub,Ann_Herb,treecanopy
-110.0472,37.60413,1980,23.15924,2.69,0.0418759016244813,36.16,5.0,11.0,84.0,7.0,0.0,0.0
-110.0472,37.60413,1981,23.27065,9.39,0.042638677058618,36.08,5.0,11.0,84.0,7.0,0.0,0.0
-110.0472,37.60413,1982,22.05707,9.5,0.0456102614659084,34.99,5.0,11.0,84.0,7.0,0.0,0.0
-110.0472,37.60413,1983,21.32826,10.22,0.0441405045657255,33.69,5.0,11.0,84.0,7.0,0.0,0.0
-110.0472,37.60413,1984,21.95978,9.49,0.0431793329961535,34.01,5.0,11.0,84.0,7.0,0.0,0.0
-110.0472,37.60413,1985,23.38859,4.81,0.0433948666674286,36.32,5.0,11.0,84.0,7.0,0.0,0.0
-110.0472,37.60413,1986,22.45109,9.85,0.0442455160278947,34.18,5.0,11.0,84.0,7.0,0.0,0.0
-110.0472,37.60413,1987,22.01576,11.04,0.0482605574067661,33.22,5.0,11.0,84.0,7.0,0.0,0.0
-110.0472,37.60413,1988,23.25,7.98,0.0424124689764448,34.69,5.0,11.0,84.0,7.0,0.0,0.0
-110.0472,37.60413,1989,22.5125,6.69,0.0436590329146498,36.62,5.0,11.0,84.0,7.0,0.0,0.0
-110.0472,37.60413,1990,23.2337,5.41,0.0418545418777248,36.15,5.0,11.0,84.0,7.0,0.0,0.0
-110.0472,37.60413,1991,22.31033,6.39,0.0421038972135905,33.69,5.0,11.0,84.0,7.0,0.0,0.0
-110.0472,37.60413,1992,21.67554,5.95,0.0421187280018565,33.4,5.0,11.0,84.0,7.0,0.0,0.0
-110.0472,37.60413,1993,21.29783,5.55,0.0430715815007514,33.72,5.0,11.0,84.0,7.0,0.0,0.0
-110.0472,37.60413,1994,24.52935,2.56,0.041020681830401,36.37,5.0,11.0,84.0,7.0,0.0,0.0
-110.0472,37.60413,1995,22.06848,6.76,0.0423227080435721,35.39,5.0,11.0,84.0,7.0,0.0,0.0
-110.0472,37.60413,1996,24.16793,4.72,0.0415685390386833,35.38,5.0,11.0,84.0,7.0,0.0,0.0
-110.0472,37.60413,1997,22.10163,9.18,0.0485792226443798,33.52,5.0,11.0,84.0,7.0,0.0,0.0
-110.0472,37.60413,1998,22.54674,5.69,0.0425703308608947,35.73,5.0,11.0,84.0,7.0,0.0,0.0
-110.0472,37.60413,1999,21.66522,14.56,0.0486476109817655,33.14,5.0,11.0,84.0,7.0,0.0,0.0
-110.0472,37.60413,2000,23.94185,4.78,0.0413455960502668,35.94,5.0,11.0,84.0,7.0,0.0,0.0
-110.0472,37.60413,2001,23.12826,8.13,0.0433898289067058,35.3,5.0,11.0,84.0,7.0,0.0,0.0
-110.0472,37.60413,2002,24.23804,3.0,0.0410167565510935,36.26,5.0,11.0,84.0,7.0,0.0,0.0
-110.0472,37.60413,2003,24.26359,5.4,0.0419645236434049,36.86,5.0,11.0,84.0,7.0,0.0,0.0
-110.0472,37.60413,2004,22.70707,2.76,0.0412707497231624,34.2,5.0,11.0,84.0,7.0,0.0,0.0
-110.0472,37.60413,2005,22.2962,8.14,0.044191521144267,37.29,5.0,11.0,84.0,7.0,0.0,0.0
-110.0472,37.60413,2006,23.89511,7.13,0.0420795852047786,35.69,5.0,11.0,84.0,7.0,0.0,0.0
-110.0472,37.60413,2007,24.0712,7.59,0.0430131858331003,35.71,5.0,11.0,84.0,7.0,0.0,0.0
-110.0472,37.60413,2008,22.4875,6.65,0.0430971158888598,34.22,5.0,11.0,84.0,7.0,0.0,0.0
