long,lat,Herb,Litter,Bare,Shrub,Ann_Herb,treecanopy,Herb_t,Litter_t,Bare_t,Shrub_t,Ann_Herb_t,treecanopy_t
-110.0472,37.60413,5.0,11.0,84.0,7.0,0.0,0.0,0.21,0.4,0.88,0.15,0.0,0.0
-110.0461,37.60334,7.0,6.0,77.0,10.0,0.0,6.0,0.32,0.2,0.8,0.22,0.0,0.21
-110.0458,37.60308,8.0,11.0,70.0,11.0,0.0,11.0,0.37,0.4,0.71,0.24,0.0,0.38
-110.0393,37.60519,10.0,9.0,58.0,15.0,0.0,9.0,0.47,0.32,0.57,0.33,0.0,0.31
-110.0389,37.60545,8.0,9.0,62.0,13.0,0.0,7.0,0.37,0.32,0.61,0.28,0.0,0.24
-110.0386,37.59621,8.0,9.0,63.0,10.0,0.0,7.0,0.37,0.32,0.63,0.22,0.0,0.24
-110.0376,37.60202,7.0,8.0,65.0,10.0,0.0,5.0,0.32,0.28,0.65,0.22,0.0,0.17
-110.0376,37.6044,11.0,7.0,65.0,14.0,0.0,15.0,0.53,0.24,0.65,0.3,0.0,0.52
-110.0365,37.60096,10.0,11.0,59.0,14.0,0.0,6.0,0.47,0.4,0.58,0.3,0.0,0.21
-110.0365,37.60334,9.0,6.0,80.0,6.0,0.0,0.0,0.42,0.2,0.83,0.13,0.0,0.0
-110.0355,37.59489,3.0,5.0,85.0,5.0,0.0,0.0,0.11,0.16,0.89,0.11,0.0,0.0
-110.0348,37.59067,10.0,19.0,47.0,19.0,0.0,0.0,0.47,0.72,0.43,0.41,0.0,0.0
-110.0345,37.60123,10.0,9.0,56.0,15.0,0.0,8.0,0.47,0.32,0.54,0.33,0.0,0.28
-110.0341,37.6044,9.0,10.0,58.0,15.0,0.0,15.0,0.42,0.36,0.57,0.33,0.0,0.52
-110.0338,37.58882,11.0,9.0,49.0,20.0,0.0,21.0,0.53,0.32,0.46,0.43,0.0,0.72
-110.0338,37.59991,11.0,8.0,73.0,10.0,0.0,6.0,0.53,0.28,0.75,0.22,0.0,0.21
-110.0334,37.60492,9.0,6.0,68.0,11.0,0.0,0.0,0.42,0.2,0.69,0.24,0.0,0.0
-110.0331,37.60915,11.0,11.0,49.0,19.0,0.0,14.0,0.53,0.4,0.46,0.41,0.0,0.48
-110.0328,37.60334,1.0,3.0,93.0,2.0,0.0,0.0,0.0,0.08,0.99,0.04,0.0,0.0
-110.0321,37.60862,8.0,10.0,64.0,10.0,0.0,0.0,0.37,0.36,0.64,0.22,0.0,0.0
-110.0314,37.58935,14.0,19.0,34.0,26.0,0.0,12.0,0.68,0.72,0.28,0.57,0.0,0.41
-110.03,37.59938,16.0,22.0,28.0,46.0,6.0,0.0,0.79,0.84,0.2,1.0,1.0,0.0
-110.029,37.60598,13.0,9.0,56.0,10.0,0.0,6.0,0.63,0.32,0.54,0.22,0.0,0.21
-110.029,37.61179,7.0,10.0,53.0,13.0,0.0,20.0,0.32,0.36,0.51,0.28,0.0,0.69
