long,lat,T_Summer,PPT_Summer,VWC_Summer_whole,ExtremeShortTermDryStress_Summer_whole,T_Summer_t,PPT_Summer_t,VWC_Summer_whole_t,ExtremeShortTermDryStress_Summer_whole_t
-110.0472,37.60413,23.16,2.69,0.04,36.16,1.0,0.9,0.14,1.0
-110.0461,37.60334,23.16,2.69,0.05,36.16,1.0,0.9,0.21,1.0
-110.0458,37.60308,23.16,2.69,0.05,36.16,1.0,0.9,0.2,1.0
-110.0393,37.60519,23.16,2.69,0.05,36.16,1.0,0.9,0.27,1.0
-110.0389,37.60545,23.16,2.69,0.05,36.16,1.0,0.9,0.29,1.0
-110.0386,37.59621,23.16,2.69,0.05,36.16,1.0,0.9,0.27,1.0
-110.0376,37.60202,23.16,2.69,0.05,36.16,1.0,0.9,0.21,1.0
-110.0376,37.6044,23.16,2.69,0.04,36.16,1.0,0.9,0.13,1.0
-110.0365,37.60096,23.07,2.57,0.04,36.11,0.94,0.33,0.17,0.97
-110.0365,37.60334,23.07,2.57,0.04,36.11,0.94,0.33,0.14,0.97
-110.0355,37.59489,23.07,2.57,0.04,36.11,0.94,0.33,0.07,0.97
-110.0348,37.59067,23.07,2.57,0.05,36.11,0.94,0.33,0.21,0.97
-110.0345,37.60123,23.07,2.57,0.05,36.11,0.94,0.33,0.25,0.97
-110.0341,37.6044,23.07,2.57,0.05,36.11,0.94,0.33,0.23,0.97
-110.0338,37.58882,23.07,2.57,0.05,36.11,0.94,0.33,0.28,0.97
-110.0338,37.59991,23.07,2.57,0.04,36.11,0.94,0.33,0.1,0.97
-110.0334,37.60492,23.07,2.57,0.05,36.11,0.94,0.33,0.23,0.97
-110.0331,37.60915,23.07,2.57,0.05,36.11,0.94,0.33,0.29,0.97
-110.0328,37.60334,23.07,2.57,0.04,36.11,0.94,0.33,0.15,0.97
-110.0321,37.60862,23.07,2.57,0.05,36.11,0.94,0.33,0.25,0.97
-110.0314,37.58935,23.07,2.57,0.04,36.11,0.94,0.33,0.17,0.97
-110.03,37.59938,23.07,2.57,0.04,36.11,0.94,0.33,0.11,0.97
-110.029,37.60598,23.07,2.57,0.05,36.11,0.94,0.33,0.23,0.97
-110.029,37.61179,23.07,2.57,0.06,36.11,0.94,0.33,0.36,0.97
-110.0286,37.60202,23.07,2.57,0.04,36.11,0.94,0.33,0.07,0.97
-110.0283,37.58671,23.04,2.56,0.04,36.11,0.92,0.29,0.1,0.97
-110.028,37.58011,23.04,2.56,0.05,36.11,0.92,0.29,0.18,0.97
-110.028,37.59753,23.07,2.57,0.04,36.11,0.94,0.33,0.16,0.97
-110.0273,37.60704,23.07,2.57,0.04,36.11,0.94,0.33,0.17,0.97
-110.0262,37.60308,23.07,2.57,0.05,36.11,0.94,0.33,0.22,0.97
-110.0259,37.60809,23.07,2.57,0.04,36.11,0.94,0.33,0.14,0.97
-110.0245,37.57668,23.04,2.56,0.05,36.11,0.92,0.29,0.29,0.97
-110.0245,37.61496,23.07,2.57,0.06,36.11,0.94,0.33,0.33,0.97
-110.0242,37.61284,23.07,2.57,0.05,36.11,0.94,0.33,0.24,0.97
